Date,Pharmacy,Location,Drug,Brand,Price,Quantity,Supplier_Name,Batch_Number,Expiry_Date,Sales_Channel,Drug_Form
02/12/2024,Ryan PLC,Urban,Amoxicillin,HealthFirst,1271.41,95,"Robinson, Jones and Welch",fA-39909-QL,09/07/2026,Market Stall,Tablet
14/11/2024,"Baker, Mason and White",Rural,Amoxicillin,Hea1thFirst,1316.77,78,"Brooks, Lam and Hayes",qz-54353-iQ,09/09/2026,Market Stall,Syrup
,Spence PLC,Rural,Ibuprofen,BioCare,4085.27,1,Novak PLC,NK-75107-ge,17/06/2026,In-Store,Capsule
16/07/2024,"Watts, Robinson and Nguyen",Rural,Paracetamol,BioCare,690.61,49,"Robinson, Jones and Welch",px-84251-sk,01/04/2026,Mobile Van,Injection
14/03/2025,Harrell LLC,Rural,Amoxicillin,MediPlus,4870.96,49,Chapman and Sons,QJ-84980-tQ,15/07/2025,Market Stall,Injection
24/04/2025,Ryan PLC,Rural,Chloroquine,MediPlus,419.96,30,Novak PLC,jr-24118-sM,06/10/2025,Mobile Van,Tablet
28/01/2025,Williams and Sons,Urban,Ciprofloxacin,BioCare,980.74,46,"Washington, Ryan and Cummings",qd-53487-fO,21/03/2026,Market Stall,Injection
13/03/2025,"Arroyo, Miller and Tucker",Urban,Chloroquine,HealthFirst,984.33,49,Lee-Davis,Oq-40052-kV,04/04/2026,Market Stall,Syrup
25/11/2024,Allen-Allen,Rural,Amoxicillin,MediPlus,4064.22,52,,Sj-68011-Ic,03/02/2027,In-Store,Syrup
15/09/2024,Smith-Bowen,Rural,Ibuprofen,PharmaTrust,4446.48,83,Baxter Inc,ct-98262-xY,23/02/2027,In-Store,Injection
10/05/2024,Garcia-James,Urban,Coartem,PharmaTrust,4509.55,52,Powell LLC,XJ-53315-AN,29/11/2026,In-Store,Syrup
24/06/2024,"Ferrell, Rice and Maddox",Rural,Artemisinin,MediPlus,933.64,21,"Daniels, Adkins and Brown",lV-32260-vY,18/04/2027,Market Stall,Capsule
01/10/2024,Harrell LLC,Urban,Ciprofloxacin,PharmaTrust,2739.75,71,Yu Inc,cE-34216-om,20/01/2027,In-Store,Tablet
16/04/2025,Allen-Allen,Rural,Amlodipine,FarmaTrust,959.16,1,"Stanley, Tucker and Lee",bQ-75433-mz,05/01/2026,Market Stall,Injection
11/08/2024,"Ferrell, Rice and Maddox",Urban,Coartem,BioCare,4240.01,65,Hancock Inc,RI-14586-vb,24/07/2025,In-Store,Syrup
